,Title,Task
267,Electromechanical Equipment Assemblers,"['Inspect, test, and adjust completed units to ensure that units meet specifications, tolerances, and customer order requirements.', 'Position, align, and adjust parts for proper fit and assembly.', 'Assemble parts or units, and position, align, and fasten units to assemblies, subassemblies, or frames, using hand tools and power tools.', 'Connect cables, tubes, and wiring, according to specifications.', 'Measure parts to determine tolerances, using precision measuring instruments such as micrometers, calipers, and verniers.', 'Read blueprints and specifications to determine component parts and assembly sequences of electromechanical units.', 'Attach name plates and mark identifying information on parts.', 'Disassemble units to replace parts or to crate them for shipping.', 'File, lap, and buff parts to fit, using hand and power tools.', 'Clean and lubricate parts and subassemblies, using grease paddles or oilcans.', 'Operate or tend automated assembling equipment, such as robotics and fixed automation equipment.', 'Drill, tap, ream, countersink, and spot-face bolt holes in parts, using drill presses and portable power drills.', 'Operate small cranes to transport or position large parts.', 'Pack or fold insulation between panels.']"
268,"Electronic Equipment Installers and Repairers, Motor Vehicles","['Install equipment and accessories, such as stereos, navigation equipment, communication equipment, and security systems.', 'Inspect and test electrical or electronic systems to locate and diagnose malfunctions, using visual inspections and testing instruments, such as oscilloscopes and voltmeters.', 'Cut openings and drill holes for fixtures and equipment, using electric drills and routers.', 'Splice wires with knives or cutting pliers, and solder connections to fixtures and equipment.', 'Diagnose or repair problems with electronic equipment, such as sound, navigation, communication, and security equipment, in motor vehicles.', 'Run new speaker and electrical cables.', 'Confer with customers to determine the nature of malfunctions.', 'Remove seats, carpeting, and interiors of doors and add sound-absorbing material in empty spaces, reinstalling interior parts.', 'Record results of diagnostic tests.', 'Estimate costs of repairs, based on parts and labor charges.', 'Replace and clean electrical or electronic components.', 'Build fiberglass or wooden enclosures for sound components, and fit them to automobile dimensions.']"
269,"Electronics Engineers, Except Computer","['Design electronic components, software, products, or systems for commercial, industrial, medical, military, or scientific applications.', 'Operate computer-assisted engineering or design software or equipment to perform electronics engineering tasks.', 'Evaluate project work to ensure effectiveness, technical adequacy, or compatibility in the resolution of complex electronics engineering problems.', 'Direct or coordinate activities concerned with manufacture, construction, installation, maintenance, operation, or modification of electronic equipment, products, or systems.', 'Confer with engineers, customers, vendors, or others to discuss existing or potential electronics engineering projects or products.', 'Provide technical support or instruction to staff or customers regarding electronics equipment standards.', 'Recommend repair or design modifications of electronics components or systems, based on factors such as environment, service, cost, or system capabilities.', 'Prepare documentation containing information such as confidential descriptions or specifications of proprietary hardware or software, product development or introduction schedules, product costs, or information about product performance weaknesses.', 'Develop or perform operational, maintenance, or testing procedures for electronic products, components, equipment, or systems.', 'Analyze electronics system requirements, capacity, cost, or customer needs to determine project feasibility.', 'Prepare, review, or maintain maintenance schedules, design documentation, or operational reports or charts.', 'Inspect electronic equipment, instruments, products, or systems to ensure conformance to specifications, safety standards, or applicable codes or regulations.', 'Determine project material or equipment needs.', 'Prepare necessary criteria, procedures, reports, or plans for successful conduct of the project with consideration given to site preparation, facility validation, installation, quality assurance, or testing.', 'Plan or develop applications or modifications for electronic properties used in components, products, or systems to improve technical performance.', 'Research or develop electronics technologies for use in electric-drive vehicles.', 'Prepare engineering sketches or specifications for construction, relocation, or installation of equipment, facilities, products, or systems.', 'Prepare budget or cost estimates for equipment, construction, or installation projects or control expenditures.', 'Investigate green consumer electronics applications for consumer electronic devices, power saving devices for computers or televisions, or energy efficient power chargers.', 'Represent employer at conferences, meetings, boards, panels, committees, or working groups to present, explain, or defend findings or recommendations, negotiate compromises or agreements, or exchange information.', 'Research or develop new green electronics technologies, such as lighting, optical data storage devices, or energy efficient televisions.']"
270,"Elementary School Teachers, Except Special Education","['Establish and enforce rules for behavior and procedures for maintaining order among the students.', ""Adapt teaching methods and instructional materials to meet students' varying needs and interests."", 'Instruct students individually and in groups, using teaching methods such as lectures, discussions, and demonstrations.', ""Confer with parents or guardians, teachers, counselors, and administrators to resolve students' behavioral and academic problems."", 'Prepare students for later grades by encouraging them to explore learning opportunities and to persevere with challenging tasks.', 'Prepare materials and classrooms for class activities.', 'Provide a variety of materials and resources for children to explore, manipulate, and use, both in learning activities and in imaginative play.', 'Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.', 'Guide and counsel students with adjustment or academic problems or with special academic interests.', ""Observe and evaluate students' performance, behavior, social development, and physical health."", 'Enforce administration policies and rules governing students.', 'Read books to entire classes or small groups.', 'Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.', ""Meet with parents and guardians to discuss their children's progress and to determine priorities for their children and their resource needs."", 'Prepare and implement remedial programs for students requiring extra help.', 'Confer with other staff members to plan and schedule lessons promoting learning, following approved curricula.', ""Prepare, administer, and grade tests and assignments to evaluate students' progress."", 'Use computers, audio-visual aids, and other equipment and materials to supplement presentations.', 'Maintain accurate and complete student records as required by laws, district policies, and administrative regulations.', ""Meet with other professionals to discuss individual students' needs and progress."", 'Organize and lead activities designed to promote physical, mental, and social development, such as games, arts and crafts, music, and storytelling.', 'Assign and grade class work and homework.', 'Instruct and monitor students in the use and care of equipment and materials to prevent injuries and damage.', 'Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.', 'Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.', 'Attend professional meetings, educational conferences, and teacher training workshops to maintain and improve professional competence.', 'Prepare reports on students and activities as required by administration.', 'Collaborate with other teachers and administrators in the development, evaluation, and revision of elementary school programs.', ""Organize and label materials and display students' work."", 'Supervise, evaluate, and plan assignments for teacher assistants and volunteers.', 'Plan and supervise class projects, field trips, visits by guest speakers or other experiential activities, and guide students in learning from those activities.', 'Administer standardized ability and achievement tests, and interpret results to determine student strengths and needs.', 'Attend staff meetings and serve on committees, as required.', 'Perform administrative duties, such as school library assistance, hall and cafeteria monitoring, and bus loading and unloading.', ""Involve parent volunteers and older students in children's activities to facilitate involvement in focused, complex play."", 'Select, store, order, issue, and inventory classroom equipment, materials, and supplies.', 'Provide disabled students with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.', 'Sponsor extracurricular activities, such as clubs, student organizations, and academic contests.']"
271,Elevator and Escalator Installers and Repairers,"['Assemble, install, repair, and maintain elevators, escalators, moving sidewalks, and dumbwaiters, using hand and power tools, and testing devices such as test lamps, ammeters, and voltmeters.', 'Test newly installed equipment to ensure that it meets specifications, such as stopping at floors for set amounts of time.', 'Locate malfunctions in brakes, motors, switches, and signal and control systems, using test equipment.', 'Check that safety regulations and building codes are met, and complete service reports verifying conformance to standards.', 'Connect electrical wiring to control panels and electric motors.', 'Adjust safety controls, counterweights, door mechanisms, and components such as valves, ratchets, seals, and brake linings.', 'Read and interpret blueprints to determine the layout of system components, frameworks, and foundations, and to select installation equipment.', 'Inspect wiring connections, control panel hookups, door installations, and alignments and clearances of cars and hoistways to ensure that equipment will operate properly.', 'Disassemble defective units, and repair or replace parts such as locks, gears, cables, and electric wiring.', 'Maintain log books that detail all repairs and checks performed.', 'Participate in additional training to keep skills up to date.', 'Attach guide shoes and rollers to minimize the lateral motion of cars as they travel through shafts.', 'Connect car frames to counterweights, using steel cables.', 'Bolt or weld steel rails to the walls of shafts to guide elevators, working from scaffolding or platforms.', ""Assemble elevator cars, installing each car's platform, walls, and doors."", 'Install outer doors and door frames at elevator entrances on each floor of a structure.', 'Install electrical wires and controls by attaching conduit along shaft walls from floor to floor and pulling plastic-covered wires through the conduit.', 'Cut prefabricated sections of framework, rails, and other components to specified dimensions.', 'Operate elevators to determine power demands, and test power consumption to detect overload factors.', 'Assemble electrically powered stairs, steel frameworks, and tracks, and install associated motors and electrical wiring.']"
272,"Eligibility Interviewers, Government Programs","[""Interpret and explain information such as eligibility requirements, application details, payment methods, and applicants' legal rights."", 'Interview benefits recipients at specified intervals to certify their eligibility for continuing benefits.', 'Keep records of assigned cases, and prepare required reports.', 'Compile, record, and evaluate personal and financial data to verify completeness and accuracy, and to determine eligibility status.', ""Answer applicants' questions about benefits and claim procedures."", 'Interview and investigate applicants for public assistance to gather information pertinent to their applications.', 'Initiate procedures to grant, modify, deny, or terminate assistance, or refer applicants to other agencies for assistance.', 'Check with employers or other references to verify answers and obtain further information.', 'Compute and authorize amounts of assistance for programs, such as grants, monetary payments, and food stamps.', 'Schedule benefits claimants for adjudication interviews to address questions of eligibility.', 'Refer applicants to job openings or to interviews with other staff, in accordance with administrative guidelines or office procedures.', 'Investigate claimants for the possibility of fraud or abuse.', 'Monitor the payments of benefits throughout the duration of a claim.', 'Prepare applications and forms for applicants for such purposes as school enrollment, employment, and medical services.', 'Provide applicants with assistance in completing application forms, such as those for job referrals or unemployment compensation claims.', 'Conduct annual, interim, and special housing reviews and home visits to ensure conformance to regulations.', 'Provide social workers with pertinent information gathered during applicant interviews.']"
273,Embalmers,"['Conform to laws of health and sanitation and ensure that legal requirements concerning embalming are met.', 'Apply cosmetics to impart lifelike appearance to the deceased.', 'Join lips, using needles and thread or wire.', 'Close incisions, using needles and sutures.', 'Incise stomach and abdominal walls and probe internal organs, using trocar, to withdraw blood and waste matter from organs.', 'Clean and disinfect areas in which bodies are prepared and embalmed.', 'Dress bodies and place them in caskets.', 'Make incisions in arms or thighs and drain blood from circulatory system and replace it with embalming fluid, using pump.', 'Remove the deceased from place of death and transport to funeral home.', 'Perform the duties of funeral directors, including coordinating funeral activities.', 'Attach trocar to pump-tube, start pump, and repeat probing to force embalming fluid into organs.', 'Reshape or reconstruct disfigured or maimed bodies when necessary, using dermasurgery techniques and materials such as clay, cotton, plaster of Paris, and wax.', 'Pack body orifices with cotton saturated with embalming fluid to prevent escape of gases or waste matter.', 'Conduct interviews to arrange for the preparation of obituary notices, to assist with the selection of caskets or urns, and to determine the location and time of burials or cremations.', 'Insert convex celluloid or cotton between eyeballs and eyelids to prevent slipping and sinking of eyelids.', 'Assist with placing caskets in hearses and organize cemetery processions.', 'Maintain records, such as itemized lists of clothing or valuables delivered with body and names of persons embalmed.', 'Wash and dry bodies, using germicidal soap and towels or hot air dryers.', 'Arrange for transporting the deceased to another state for interment.', 'Perform special procedures necessary for remains that are to be transported to other states or overseas, or where death was caused by infectious disease.', 'Supervise funeral attendants and other funeral home staff.', 'Serve as pallbearers, attend visiting rooms, and provide other assistance to the bereaved.', 'Direct casket and floral display placement and arrange guest seating.', 'Arrange funeral home equipment and perform general maintenance.', 'Assist coroners at death scenes or at autopsies, file police reports, and testify at inquests or in court, if employed by a coroner.', 'Press diaphragm to evacuate air from lungs.']"
274,Emergency Management Directors,"['Keep informed of activities or changes that could affect the likelihood of an emergency, response efforts, or plan implementation.', 'Prepare emergency situation status reports that describe response and recovery efforts, needs, and preliminary damage assessments.', 'Prepare plans that outline operating procedures to be used in response to disasters or emergencies, such as hurricanes, nuclear accidents, and terrorist attacks, and in recovery from these events.', 'Coordinate disaster response or crisis management activities, such as ordering evacuations, opening public shelters, and implementing special needs plans and programs.', 'Develop and maintain liaisons with municipalities, county departments, and similar entities to facilitate plan development, response effort coordination, and exchanges of personnel and equipment.', 'Apply for federal funding for emergency-management-related needs, and administer and report on the progress of such grants.', 'Design and administer emergency or disaster preparedness training courses that teach people how to effectively respond to major emergencies and disasters.', 'Collaborate with other officials to prepare and analyze damage assessments following disasters or emergencies.', 'Consult with officials of local and area governments, schools, hospitals, and other institutions to determine their needs and capabilities in the event of a natural disaster or other emergency.', 'Attend meetings, conferences, and workshops related to emergency management to learn new information and to develop working relationships with other emergency management specialists.', 'Inspect facilities and equipment, such as emergency management centers and communications equipment, to determine their operational and functional capabilities in emergency situations.', 'Propose alteration of emergency response procedures, based on regulatory changes, technological changes, or knowledge gained from outcomes of previous emergency situations.', 'Develop and perform tests and evaluations of emergency management plans in accordance with state and federal regulations.', 'Keep informed of federal, state, and local regulations affecting emergency plans, and ensure that plans adhere to those regulations.', 'Review emergency plans of individual organizations, such as medical facilities, to ensure their adequacy.', ""Develop instructional materials for the public and make presentations to citizens' groups to provide information on emergency plans and their implementation processes."", 'Maintain and update all resource materials associated with emergency preparedness plans.', 'Train local groups in the preparation of long-term plans that are compatible with federal and state plans.', 'Provide communities with assistance in applying for federal funding for emergency management facilities, radiological instrumentation, and related items.', 'Conduct surveys to determine the types of emergency-related needs to be addressed in disaster planning, or provide technical support to others conducting such surveys.', 'Study emergency plans used elsewhere to gather information for plan development.', 'Develop and implement training procedures and strategies for radiological protection, detection, and decontamination.', 'Inventory and distribute nuclear, biological, and chemical detection and contamination equipment, providing instruction in its maintenance and use.']"
275,Emergency Medical Technicians,"['Administer first aid treatment or life support care to sick or injured persons in prehospital settings.', 'Assess nature and extent of illness or injury to establish and prioritize medical procedures.', 'Attend training classes to maintain certification licensure, keep abreast of new developments in the field, or maintain existing knowledge.', 'Comfort and reassure patients.', 'Communicate with dispatchers or treatment center personnel to provide information about situation, to arrange reception of victims, or to receive instructions for further treatment.', 'Coordinate work with other emergency medical team members or police or fire department personnel.', 'Decontaminate ambulance interior following treatment of patient with infectious disease, and report case to proper authorities.', 'Drive mobile intensive care unit to specified location, following instructions from emergency medical dispatcher.', 'Immobilize patient for placement on stretcher and ambulance transport, using backboard or other spinal immobilization device.', 'Maintain vehicles and medical and communication equipment, and replenish first aid equipment and supplies.', ""Observe, record, and report to physician the patient's condition or injury, the treatment provided, and reactions to drugs or treatment."", 'Perform emergency diagnostic and treatment procedures, such as stomach suction, airway management, or heart monitoring, during ambulance ride.']"
276,Emergency Medicine Physicians,"['Analyze records, examination information, or test results to diagnose medical conditions.', ""Assess patients' pain levels or sedation requirements."", 'Collect and record patient information, such as medical history or examination results, in electronic or handwritten medical records.', 'Communicate likely outcomes of medical diseases or traumatic conditions to patients or their representatives.', 'Conduct primary patient assessments that include information from prior medical care.', ""Consult with hospitalists and other professionals, such as social workers, regarding patients' hospital admission, continued observation, transition of care, or discharge."", 'Direct and coordinate activities of nurses, assistants, specialists, residents, and other medical staff.', ""Discuss patients' treatment plans with physicians and other medical professionals."", ""Evaluate patients' vital signs or laboratory data to determine emergency intervention needs and priority of treatment."", 'Identify factors that may affect patient management, such as age, gender, barriers to communication, and underlying disease.', ""Monitor patients' conditions, and reevaluate treatments, as necessary."", 'Perform emergency resuscitations on patients.', 'Perform such medical procedures as emergent cricothyrotomy, endotracheal intubation, and emergency thoracotomy.', 'Refer patients to specialists or other practitioners.', 'Select and prescribe medications to address patient needs.', 'Select, request, perform, or interpret diagnostic procedures, such as laboratory tests, electrocardiograms, emergency ultrasounds, and radiographs.', 'Stabilize patients in critical condition.']"
277,Endoscopy Technicians,"['Clean, disinfect, or calibrate scopes or other endoscopic instruments according to manufacturer recommendations and facility standards.', 'Prepare suites or rooms according to endoscopic procedure requirements.', 'Assist physicians or registered nurses in the conduct of endoscopic procedures.', 'Collect specimens from patients, using standard medical procedures.', 'Maintain or repair endoscopic equipment.', 'Perform safety checks to verify proper equipment functioning.', 'Attend in-service training to validate or refresh basic professional skills.', 'Place devices, such as blood pressure cuffs, pulse oximeter sensors, nasal cannulas, surgical cautery pads, and cardiac monitoring electrodes, on patients to monitor vital signs.', 'Position or transport patients in accordance with instructions from medical personnel.', 'Maintain inventories of endoscopic equipment and supplies.', 'Conduct in-service training sessions to disseminate information regarding equipment or instruments.', 'Read current literature, talk with colleagues, or participate in professional organizations or conferences to keep abreast of developments in endoscopy.']"
278,Energy Auditors,"['Identify and prioritize energy-saving measures.', 'Prepare audit reports containing energy analysis results or recommendations for energy cost savings.', 'Identify any health or safety issues related to planned weatherization projects.', 'Identify opportunities to improve the operation, maintenance, or energy efficiency of building or process systems.', 'Calculate potential for energy savings.', 'Inspect or evaluate building envelopes, mechanical systems, electrical systems, or process systems to determine the energy consumption of each system.', 'Analyze technical feasibility of energy-saving measures, using knowledge of engineering, energy production, energy use, construction, maintenance, system operation, or process systems.', 'Examine commercial sites to determine the feasibility of installing equipment that allows building management systems to reduce electricity consumption during peak demand periods.', 'Recommend energy-efficient technologies or alternate energy sources.', 'Collect and analyze field data related to energy usage.', 'Measure energy usage with devices such as data loggers, universal data recorders, light meters, sling psychrometers, psychrometric charts, flue gas analyzers, amp probes, watt meters, volt meters, thermometers, or utility meters.', 'Educate customers on energy efficiency or answer questions on topics such as the costs of running household appliances or the selection of energy-efficient appliances.', 'Perform tests such as blower-door tests to locate air leaks.', 'Prepare job specification sheets for home energy improvements, such as attic insulation, window retrofits, or heating system upgrades.', 'Inspect newly installed energy-efficient equipment to ensure that it was installed properly and is performing according to specifications.', 'Analyze energy bills, including utility rates or tariffs, to gather historical energy usage data.', 'Quantify energy consumption to establish baselines for energy use or need.', 'Determine patterns of building use to show annual or monthly needs for heating, cooling, lighting, or other energy needs.', 'Compare existing energy consumption levels to normative data.', 'Oversee installation of equipment such as water heater wraps, pipe insulation, weatherstripping, door sweeps, or low-flow showerheads to improve energy efficiency.', 'Verify income eligibility of participants in publicly financed weatherization programs.']"
279,"Energy Engineers, Except Wind and Solar","['Identify and recommend energy savings strategies to achieve more energy-efficient operation.', 'Conduct energy audits to evaluate energy use and to identify conservation and cost reduction measures.', 'Monitor and analyze energy consumption.', 'Monitor energy related design or construction issues, such as energy engineering, energy management, or sustainable design.', 'Inspect or monitor energy systems, including heating, ventilating, and air conditioning (HVAC) or daylighting systems to determine energy use or potential energy savings.', 'Advise clients or colleagues on topics such as climate control systems, energy modeling, data logging, sustainable design, or energy auditing.', 'Analyze, interpret, or create graphical representations of energy data, using engineering software.', 'Verify energy bills and meter readings.', 'Collect data for energy conservation analyses, using jobsite observation, field inspections, or sub-metering.', 'Manage the development, design, or construction of energy conservation projects to ensure acceptability of budgets and time lines, conformance to federal and state laws, or adherence to approved specifications.', 'Perform energy modeling, measurement, verification, commissioning, or retro-commissioning.', 'Review architectural, mechanical, or electrical plans or specifications to evaluate energy efficiency.', 'Prepare energy-related project reports or related documentation.', 'Review or negotiate energy purchase agreements.', 'Train personnel or clients on topics such as energy management.', 'Direct the implementation of energy management projects.', 'Research renewable or alternative energy systems or technologies, such as solar thermal or photovoltaic energy.', 'Promote awareness or use of alternative or renewable energy sources.', 'Write or install energy management routines for building automation systems.', 'Recommend best fuel for specific sites or circumstances.', 'Consult with construction or renovation clients or other engineers on topics such as Leadership in Energy and Environmental Design (LEED) or Green Buildings.']"
280,Engine and Other Machine Assemblers,"['Read and interpret assembly blueprints or specifications manuals, and plan assembly or building operations.', 'Inspect, operate, and test completed products to verify functioning, machine capabilities, or conformance to customer specifications.', 'Position or align components for assembly, manually or using hoists.', 'Set and verify parts clearances.', 'Verify conformance of parts to stock lists or blueprints, using measuring instruments such as calipers, gauges, or micrometers.', 'Fasten or install piping, fixtures, or wiring and electrical components to form assemblies or subassemblies, using hand tools, rivet guns, or welding equipment.', 'Remove rough spots and smooth surfaces to fit, trim, or clean parts, using hand tools or power tools.', 'Lay out and drill, ream, tap, or cut parts for assembly.', 'Rework, repair, or replace damaged parts or assemblies.', 'Assemble systems of gears by aligning and meshing gears in gearboxes.', 'Set up and operate metalworking machines, such as milling or grinding machines, to shape or fabricate parts.', 'Maintain and lubricate parts or components.']"
281,"Engineering Teachers, Postsecondary","['Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.', 'Prepare course materials, such as syllabi, homework assignments, and handouts.', ""Evaluate and grade students' class work, laboratory work, assignments, and papers."", 'Write grant proposals to procure external research funding.', 'Supervise undergraduate or graduate teaching, internship, and research work.', 'Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.', 'Prepare and deliver lectures to undergraduate or graduate students on topics such as mechanics, hydraulics, and robotics.', 'Initiate, facilitate, and moderate class discussions.', ""Supervise students' laboratory work."", 'Compile, administer, and grade examinations, or assign this work to others.', 'Collaborate with colleagues to address teaching and research issues.', 'Plan, evaluate, and revise curricula, course content, and course materials and methods of instruction.', 'Maintain student attendance records, grades, and other required records.', 'Maintain regularly scheduled office hours to advise and assist students.', 'Participate in student recruitment, registration, and placement activities.', 'Select and obtain materials and supplies, such as textbooks and laboratory equipment.', 'Advise students on academic and vocational curricula and on career issues.', 'Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.', 'Perform administrative duties, such as serving as department head.', 'Review manuscripts for professional journals.', 'Participate in campus and community events.', 'Act as advisers to student organizations.', 'Provide professional consulting services to government or industry.', 'Compile bibliographies of specialized materials for outside reading assignments.']"
282,"English Language and Literature Teachers, Postsecondary","['Teach writing or communication classes.', ""Evaluate and grade students' class work, assignments, and papers."", 'Prepare course materials, such as syllabi, homework assignments, and handouts.', 'Initiate, facilitate, and moderate classroom discussions.', 'Maintain student attendance records, grades, and other required records.', 'Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction.', 'Prepare and deliver lectures to undergraduate or graduate students on topics such as poetry, novel structure, and translation and adaptation.', 'Assist students who need extra help with their coursework outside of class.', 'Keep abreast of developments in the field by reading current literature, talking with colleagues, and participating in professional conferences.', 'Compile, administer, and grade examinations, or assign this work to others.', 'Maintain regularly scheduled office hours to advise and assist students.', 'Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.', 'Advise students on academic and vocational curricula and on career issues.', 'Teach classes using online technology.', 'Schedule courses.', 'Collaborate with colleagues to address teaching and research issues.', 'Write letters of recommendation for students.', 'Select and obtain materials and supplies, such as textbooks.', 'Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.', 'Participate in campus and community events.', 'Participate in student recruitment, registration, and placement activities.', 'Compile bibliographies of specialized materials for outside reading assignments.', 'Participate in cultural and literary activities, such as traveling abroad and attending performing arts events.', 'Supervise undergraduate or graduate teaching, internship, and research work.', 'Perform administrative duties, such as serving as department head.', 'Recruit, train, and supervise department personnel, such as faculty and student writing instructors.', 'Provide assistance to students in college writing centers.', 'Conduct staff performance evaluations.', 'Write original literary pieces.', 'Act as advisers to student organizations.', 'Write grant proposals to procure external research funding.', 'Review manuscripts for publication in professional journals.', 'Provide professional consulting services to government or industry.']"
283,"Entertainment and Recreation Managers, Except Gambling","['Administer first aid in emergency situations.', 'Assign tasks and work hours to staff.', 'Calculate and record department expenses and revenue.', 'Clean equipment and areas of amusement park, cruise ship, or other recreational facility.', 'Explain rules and regulations of facilities and entertainment attractions to customers.', 'Inspect equipment, such as rides, games, and vehicles, to detect wear and damage.', 'Interview and hire associates to fill staff vacancies.', 'Operate, drive, or explain the use of mechanical equipment in amusement parks, cruise ships, or other recreational facilities.', 'Plan programs of events or schedules of activities.', 'Plan, organize, or lead group activities for customers, such as exercise routines, athletic events, or arts and crafts.', 'Resolve customer complaints regarding worker performance or services rendered.', 'Store and retrieve equipment, such as vehicles, radios, and ride components.', 'Talk to coworkers using electronic devices, such as computers and radios.', 'Talk to customers to convey information about events or activities.', 'Train workers in company procedures or policy.', 'Write and present strategies for recreational facility programming using customer or employee data.', 'Write budgets to plan recreational activities or programs.']"
284,Environmental Compliance Inspectors,"['Determine the nature of code violations and actions to be taken, and issue written notices of violation, participating in enforcement hearings, as necessary.', 'Prepare, organize, and maintain inspection records.', 'Investigate complaints and suspected violations regarding illegal dumping, pollution, pesticides, product quality, or labeling laws.', 'Determine which sites and violation reports to investigate, and coordinate compliance and enforcement activities with other government agencies.', 'Interview individuals to determine the nature of suspected violations and to obtain evidence of violations.', 'Inform individuals and groups of pollution control regulations and inspection findings, and explain how problems can be corrected.', 'Verify that hazardous chemicals are handled, stored, and disposed of in accordance with regulations.', 'Learn and observe proper safety precautions, rules, regulations, and practices so that unsafe conditions can be recognized and proper safety protocols implemented.', 'Monitor follow-up actions in cases where violations were found, and review compliance monitoring reports.', 'Examine permits, licenses, applications, and records to ensure compliance with licensing requirements.', 'Prepare written, oral, tabular, and graphic reports summarizing requirements and regulations, including enforcement and chain of custody documentation.', 'Observe and record field conditions, gathering, interpreting, and reporting data such as flow meter readings and chemical levels.', 'Determine sampling locations and methods, and collect water or wastewater samples for analysis, preserving samples with appropriate containers and preservation methods.', 'Research and keep informed of pertinent information and developments in areas such as EPA laws and regulations.', 'Participate in the development of spill prevention programs and hazardous waste rules and regulations, and recommend corrective actions for hazardous waste problems.', 'Inspect waste pretreatment, treatment, and disposal facilities and systems for conformance to federal, state, or local regulations.', 'Analyze and implement state, federal or local requirements as necessary to maintain approved pretreatment, pollution prevention, and storm water runoff programs.', 'Evaluate label information for accuracy and conformance to regulatory requirements.', 'Respond to questions and inquiries, such as those concerning service charges and capacity fees, or refer them to supervisors.', 'Research and perform calculations related to landscape allowances, discharge volumes, production-based and alternative limits, and wastewater strength classifications, making recommendations and completing documentation.', 'Perform laboratory tests on samples collected, such as analyzing the content of contaminated wastewater.', 'Inform health professionals, property owners, and the public about harmful properties and related problems of water pollution and contaminated wastewater.', 'Review and evaluate applications for registration of products containing dangerous materials, or for pollution control discharge permits.', 'Conduct research on hazardous waste management projects to determine the magnitude of problems and treatment or disposal alternatives and costs.', 'Maintain and repair materials, work sites, and equipment.', 'Prepare data to calculate sewer service charges and capacity fees.']"
285,Environmental Economists,"['Write technical documents or academic articles to communicate study results or economic forecasts.', 'Conduct research on economic and environmental topics, such as alternative fuel use, public and private land use, soil conservation, air and water pollution control, and endangered species protection.', 'Collect and analyze data to compare the environmental implications of economic policy or practice alternatives.', 'Assess the costs and benefits of various activities, policies, or regulations that affect the environment or natural resource stocks.', 'Prepare and deliver presentations to communicate economic and environmental study results, to present policy recommendations, or to raise awareness of environmental consequences.', 'Develop programs or policy recommendations to achieve environmental goals in cost-effective ways.', 'Develop economic models, forecasts, or scenarios to predict future economic and environmental outcomes.', 'Demonstrate or promote the economic benefits of sound environmental regulations.', 'Conduct research to study the relationships among environmental problems and patterns of economic production and consumption.', 'Perform complex, dynamic, and integrated mathematical modeling of ecological, environmental, or economic systems.', 'Write social, legal, or economic impact statements to inform decision makers for natural resource policies, standards, or programs.', 'Teach courses in environmental economics.', 'Develop programs or policy recommendations to promote sustainability and sustainable development.', 'Develop systems for collecting, analyzing, and interpreting environmental and economic data.', 'Write research proposals and grant applications to obtain private or public funding for environmental and economic studies.', 'Examine the exhaustibility of natural resources or the long-term costs of environmental rehabilitation.', 'Monitor or analyze market and environmental trends.', 'Develop environmental research project plans, including information on budgets, goals, deliverables, timelines, and resource requirements.', 'Identify and recommend environmentally friendly business practices.', 'Interpret indicators to ascertain the overall health of an environment.']"
286,Environmental Engineering Technologists and Technicians,"['Maintain project logbook records or computer program files.', 'Record laboratory or field data, including numerical data, test results, photographs, or summaries of visual observations.', 'Perform environmental quality work in field or office settings.', 'Produce environmental assessment reports, tabulating data and preparing charts, graphs, or sketches.', 'Collect and analyze pollution samples, such as air or ground water.', 'Decontaminate or test field equipment used to clean or test pollutants from soil, air, or water.', 'Prepare and package environmental samples for shipping or testing.', 'Maintain process parameters and evaluate process anomalies.', 'Review technical documents to ensure completeness and conformance to requirements.', 'Receive, set up, test, or decontaminate equipment.', 'Prepare permit applications or review compliance with environmental permits.', 'Review work plans to schedule activities.', 'Assist in the cleanup of hazardous material spills.', 'Inspect facilities to monitor compliance with regulations governing substances, such as asbestos, lead, or wastewater.', 'Develop work plans, including writing specifications or establishing material, manpower, or facilities needs.', 'Perform statistical analysis and correction of air or water pollution data submitted by industry or other agencies.', 'Arrange for the disposal of lead, asbestos, or other hazardous materials.', 'Evaluate and select technologies to clean up polluted sites, restore polluted air, water, or soil, or rehabilitate degraded ecosystems.', 'Assess the ability of environments to naturally remove or reduce conventional or emerging contaminants from air, water, or soil.', 'Work with customers to assess the environmental impact of proposed construction or to develop pollution prevention programs.', 'Provide technical engineering support in the planning of projects, such as wastewater treatment plants, to ensure compliance with environmental regulations and policies.', 'Model biological, chemical, or physical treatment processes to remove or degrade pollutants.', 'Oversee support staff.', 'Create models to demonstrate or predict the process by which pollutants move through or impact an environment.', 'Improve chemical processes to reduce toxic emissions.', 'Obtain product information, identify vendors or suppliers, or order materials or equipment to maintain inventory.']"
